race_id,municipality,office,seats,candidates_registered
ON-french-river-mayor,"French River, Municipality of",mayor,1,1
ON-front-of-yonge-councillor,"Front of Yonge, Township of",councillor,4,4
ON-front-of-yonge-mayor,"Front of Yonge, Township of",mayor,1,3
ON-frontenac-islands-council-w01,"Frontenac Islands, Township of",councillor,2,2
ON-frontenac-islands-council-w02,"Frontenac Islands, Township of",councillor,2,3
ON-frontenac-islands-mayor,"Frontenac Islands, Township of",mayor,1,2
ON-gananoque-council-at-large,"Gananoque, Town of",councillor,6,6
ON-gananoque-mayor,"Gananoque, Town of",mayor,1,1
ON-gauthier-mayor,"Gauthier, Township of",mayor,1,
ON-georgian-bay-council-district-wards1-3,"Georgian Bay, Township of",regional_councillor,1,2
ON-georgian-bay-council-district-wards2-4,"Georgian Bay, Township of",regional_councillor,1,1
ON-georgian-bay-council-ward1,"Georgian Bay, Township of",councillor,1,1
ON-georgian-bay-council-ward2,"Georgian Bay, Township of",councillor,1,1
ON-georgian-bay-council-ward3,"Georgian Bay, Township of",councillor,1,1
ON-georgian-bay-council-ward4,"Georgian Bay, Township of",councillor,1,2
ON-georgian-bay-mayor,"Georgian Bay, Township of",mayor,1,2
ON-georgian-bluffs-council,"Georgian Bluffs, Township of",councillor,,0
ON-georgian-bluffs-deputy-mayor,"Georgian Bluffs, Township of",deputy_mayor,1,1
ON-georgian-bluffs-mayor,"Georgian Bluffs, Township of",mayor,1,1
ON-georgian-bluffs-trustee-bwdsb,"Georgian Bluffs, Township of",trustee,1,1
ON-georgina-council-w01,"Georgina, Town of",councillor,1,2
ON-georgina-council-w02,"Georgina, Town of",councillor,1,5
ON-georgina-council-w03,"Georgina, Town of",councillor,1,5
ON-georgina-council-w04,"Georgina, Town of",councillor,1,4
ON-georgina-council-w05,"Georgina, Town of",councillor,1,1
ON-georgina-mayor,"Georgina, Town of",mayor,1,2
ON-georgina-regional-councillor,"Georgina, Town of",regional_councillor,1,2
ON-gillies-councillor,"Gillies, Township of",councillor,4,2
ON-gillies-mayor,"Gillies, Township of",mayor,1,2
ON-goderich-council-at-large,"Goderich, Town of",councillor,,2
ON-goderich-deputy-mayor,"Goderich, Town of",deputy_mayor,1,1
ON-goderich-mayor,"Goderich, Town of",mayor,1,2
ON-gordon-barrie-island-council-at-large,"Gordon/Barrie Island, Municipality of",councillor,4,0
ON-gordon-barrie-island-mayor,"Gordon/Barrie Island, Municipality of",mayor,1,
ON-gore-bay-council,"Gore Bay, Town of",councillor,4,0
ON-gore-bay-mayor,"Gore Bay, Town of",mayor,1,0
ON-grand-valley-council-at-large,"Grand Valley, Town of",councillor,3,3
ON-grand-valley-deputy-mayor,"Grand Valley, Town of",deputy_mayor,1,1
ON-grand-valley-mayor,"Grand Valley, Town of",mayor,1,2
ON-gravenhurst-council-w01,"Gravenhurst, Town of",councillor,1,4
ON-gravenhurst-council-w02,"Gravenhurst, Town of",councillor,1,3
ON-gravenhurst-council-w03,"Gravenhurst, Town of",councillor,1,2
ON-gravenhurst-council-w04,"Gravenhurst, Town of",councillor,1,1
ON-gravenhurst-council-w05,"Gravenhurst, Town of",councillor,1,2
ON-gravenhurst-district-councillor,"Gravenhurst, Town of",regional_councillor,1,5
ON-gravenhurst-mayor,"Gravenhurst, Town of",mayor,1,3
ON-greater-madawaska-councillor-ward1,"Greater Madawaska, Township of",councillor,2,2
ON-greater-madawaska-councillor-ward2,"Greater Madawaska, Township of",councillor,1,1
ON-greater-madawaska-councillor-ward3,"Greater Madawaska, Township of",councillor,1,3
ON-greater-madawaska-mayor,"Greater Madawaska, Township of",mayor,1,2
ON-greater-madawaska-trustee-cepeo,"Greater Madawaska, Township of",trustee,1,0
ON-greater-madawaska-trustee-rccdsb,"Greater Madawaska, Township of",trustee,1,0
ON-greater-madawaska-trustee-rcdsb,"Greater Madawaska, Township of",trustee,1,1
ON-greater-napanee-council-w01,"Greater Napanee, Town of",councillor,1,1
ON-greater-napanee-council-w02,"Greater Napanee, Town of",councillor,1,0
ON-greater-napanee-council-w03,"Greater Napanee, Town of",councillor,1,1
ON-greater-napanee-council-w04,"Greater Napanee, Town of",councillor,1,2
ON-greater-napanee-council-w05,"Greater Napanee, Town of",councillor,1,1
ON-greater-napanee-deputy-mayor,"Greater Napanee, Town of",deputy_mayor,1,1
ON-greater-napanee-mayor,"Greater Napanee, Town of",mayor,1,1
ON-greater-sudbury-council-w01,"Greater Sudbury, City of",councillor,1,2
ON-greater-sudbury-council-w02,"Greater Sudbury, City of",councillor,1,4
ON-greater-sudbury-council-w03,"Greater Sudbury, City of",councillor,1,2
ON-greater-sudbury-council-w04,"Greater Sudbury, City of",councillor,1,2
ON-greater-sudbury-council-w05,"Greater Sudbury, City of",councillor,1,1
ON-greater-sudbury-council-w06,"Greater Sudbury, City of",councillor,1,1
ON-greater-sudbury-council-w07,"Greater Sudbury, City of",councillor,1,1
ON-greater-sudbury-council-w08,"Greater Sudbury, City of",councillor,1,3
ON-greater-sudbury-council-w09,"Greater Sudbury, City of",councillor,1,3
ON-greater-sudbury-council-w10,"Greater Sudbury, City of",councillor,1,5
ON-greater-sudbury-council-w11,"Greater Sudbury, City of",councillor,1,1
ON-greater-sudbury-council-w12,"Greater Sudbury, City of",councillor,1,2
ON-greater-sudbury-mayor,"Greater Sudbury, City of",mayor,1,6
ON-greenstone-council-beardmore-ward,"Greenstone, Municipality of",councillor,1,0
ON-greenstone-council-geraldton-ward,"Greenstone, Municipality of",councillor,2,3
ON-greenstone-council-longlac-ward,"Greenstone, Municipality of",councillor,2,1
ON-greenstone-council-nakina-ward,"Greenstone, Municipality of",councillor,1,1
ON-greenstone-council-rural-east-ward,"Greenstone, Municipality of",councillor,1,0
ON-greenstone-council-rural-west-ward,"Greenstone, Municipality of",councillor,1,2
ON-greenstone-mayor,"Greenstone, Municipality of",mayor,1,3
ON-grey-highlands-council,"Grey Highlands, Municipality of",councillor,5,3
ON-grey-highlands-deputy-mayor,"Grey Highlands, Municipality of",deputy_mayor,1,2
ON-grey-highlands-mayor,"Grey Highlands, Municipality of",mayor,1,3
ON-grey-highlands-trustee-cscprovidence,"Grey Highlands, Municipality of",trustee,1,0
ON-grimsby-council-w01,"Grimsby, Town of",councillor,2,2
ON-grimsby-council-w02,"Grimsby, Town of",councillor,2,5
ON-grimsby-council-w03,"Grimsby, Town of",councillor,2,0
ON-grimsby-council-w04,"Grimsby, Town of",councillor,2,3
ON-grimsby-mayor,"Grimsby, Town of",mayor,1,4
ON-guelph-council-w01,"Guelph, City of",councillor,2,7
ON-guelph-council-w02,"Guelph, City of",councillor,2,8
ON-guelph-council-w03,"Guelph, City of",councillor,2,5
ON-guelph-council-w04,"Guelph, City of",councillor,2,3
ON-guelph-council-w05,"Guelph, City of",councillor,2,8
ON-guelph-council-w06,"Guelph, City of",councillor,2,5
ON-guelph-eramosa-council-w01,"Guelph/Eramosa, Township of",councillor,1,1
ON-guelph-eramosa-council-w02,"Guelph/Eramosa, Township of",councillor,1,1
ON-guelph-eramosa-council-w03,"Guelph/Eramosa, Township of",councillor,1,3
ON-guelph-eramosa-council-w04,"Guelph/Eramosa, Township of",councillor,1,3
ON-guelph-eramosa-county-councillor-w07,"Guelph/Eramosa, Township of",county_councillor,1,1
ON-guelph-eramosa-county-councillor-w08,"Guelph/Eramosa, Township of",county_councillor,1,1
ON-guelph-eramosa-mayor,"Guelph/Eramosa, Township of",mayor,1,2
ON-guelph-mayor,"Guelph, City of",mayor,1,4
ON-haldimand-county-council-w01,Haldimand County,councillor,1,0
ON-haldimand-county-council-w02,Haldimand County,councillor,1,2
ON-haldimand-county-council-w03,Haldimand County,councillor,1,2
ON-haldimand-county-council-w04,Haldimand County,councillor,1,3
ON-haldimand-county-council-w05,Haldimand County,councillor,1,3
ON-haldimand-county-council-w06,Haldimand County,councillor,1,7
ON-haldimand-county-council-w07,Haldimand County,councillor,1,5
ON-haldimand-county-mayor,Haldimand County,mayor,1,4
ON-halton-hills-council-w01,"Halton Hills, Town of",councillor,2,3
ON-halton-hills-council-w02,"Halton Hills, Town of",councillor,2,3
ON-halton-hills-council-w03,"Halton Hills, Town of",councillor,2,4
ON-halton-hills-council-w04,"Halton Hills, Town of",councillor,2,5
ON-halton-hills-mayor,"Halton Hills, Town of",mayor,1,2
ON-halton-hills-regional-councillor-w01-02,"Halton Hills, Town of",regional_councillor,1,2
ON-halton-hills-regional-councillor-w03-04,"Halton Hills, Town of",regional_councillor,1,2
ON-hamilton-city-council-w01,"Hamilton, City of",councillor,1,2
ON-hamilton-city-council-w02,"Hamilton, City of",councillor,1,9
ON-hamilton-city-council-w03,"Hamilton, City of",councillor,1,7
ON-hamilton-city-council-w04,"Hamilton, City of",councillor,1,4
ON-hamilton-city-council-w05,"Hamilton, City of",councillor,1,1
ON-hamilton-city-council-w06,"Hamilton, City of",councillor,1,2
ON-hamilton-city-council-w07,"Hamilton, City of",councillor,1,4
ON-hamilton-city-council-w08,"Hamilton, City of",councillor,1,2
ON-hamilton-city-council-w09,"Hamilton, City of",councillor,1,6
ON-hamilton-city-council-w10,"Hamilton, City of",councillor,1,5
ON-hamilton-city-council-w11,"Hamilton, City of",councillor,1,2
ON-hamilton-city-council-w12,"Hamilton, City of",councillor,1,2
ON-hamilton-city-council-w13,"Hamilton, City of",councillor,1,2
ON-hamilton-city-council-w14,"Hamilton, City of",councillor,1,2
ON-hamilton-city-council-w15,"Hamilton, City of",councillor,1,5
ON-hamilton-city-mayor,"Hamilton, City of",mayor,1,8
ON-hamilton-township-council,"Hamilton, Township of",councillor,3,3
ON-hamilton-township-deputy-mayor,"Hamilton, Township of",deputy_mayor,1,1
ON-hamilton-township-mayor,"Hamilton, Township of",mayor,1,1
ON-hamilton-township-trustee-pvnccdsb,"Hamilton, Township of",trustee,1,0
ON-hanover-council,"Hanover, Town of",councillor,5,5
ON-hanover-deputy-mayor,"Hanover, Town of",deputy_mayor,1,1
ON-hanover-mayor,"Hanover, Town of",mayor,1,2
ON-harley-councillor,"Harley, Township of",councillor,,5
ON-harley-mayor,"Harley, Township of",mayor,1,1
ON-harris-council-at-large,"Harris, Township of",councillor,4,0
ON-harris-mayor,"Harris, Township of",mayor,1,
ON-hastings-highlands-council-at-large,"Hastings Highlands, Municipality of",councillor,,7
ON-hastings-highlands-deputy-mayor,"Hastings Highlands, Municipality of",deputy_mayor,,1
ON-hastings-highlands-mayor,"Hastings Highlands, Municipality of",mayor,1,2
ON-havelock-belmont-methuen-council-at-large,"Havelock-Belmont-Methuen, Township of",councillor,3,7
ON-havelock-belmont-methuen-deputy-mayor,"Havelock-Belmont-Methuen, Township of",deputy_mayor,1,2
ON-havelock-belmont-methuen-mayor,"Havelock-Belmont-Methuen, Township of",mayor,1,1
ON-hawkesbury-council-at-large,"Hawkesbury, Town of",councillor,6,3
ON-hawkesbury-mayor,"Hawkesbury, Town of",mayor,1,2
ON-head-clara-and-maria-council-atlarge,"Head, Clara and Maria, Township of",councillor,4,4
ON-head-clara-and-maria-mayor,"Head, Clara and Maria, Township of",mayor,1,1
ON-hearst-council-at-large,"Hearst, Town of",councillor,6,4
ON-hearst-mayor,"Hearst, Town of",mayor,1,2
ON-highlands-east-council-ward1-bicroft,"Highlands East, Municipality of",councillor,,1
ON-highlands-east-council-ward2-cardiff,"Highlands East, Municipality of",councillor,,2
ON-highlands-east-council-ward3-glamorgan,"Highlands East, Municipality of",councillor,,2
ON-highlands-east-council-ward4-monmouth,"Highlands East, Municipality of",councillor,,1
ON-highlands-east-mayor,"Highlands East, Municipality of",mayor,1,4
ON-hilliard-council-atlarge,"Hilliard, Township of",councillor,4,1
ON-hilliard-mayor,"Hilliard, Township of",mayor,1,1
ON-hilton-beach-council-at-large,"Hilton Beach, Village of",councillor,4,0
ON-hilton-beach-mayor,"Hilton Beach, Village of",mayor,1,1
ON-hilton-council-atlarge,"Hilton, Township of",councillor,4,4
ON-hilton-mayor,"Hilton, Township of",mayor,1,1
ON-hornepayne-council,"Hornepayne, Township of",councillor,4,5
ON-hornepayne-mayor,"Hornepayne, Township of",mayor,1,1
ON-horton-council,"Horton, Township of",councillor,4,5
ON-horton-mayor,"Horton, Township of",mayor,1,2
ON-horton-trustee-english-public,"Horton, Township of",trustee,1,1
ON-horton-trustee-french-separate,"Horton, Township of",trustee,1,1
ON-howick-council-at-large,"Howick, Township of",councillor,3,1
ON-howick-deputy-reeve,"Howick, Township of",deputy_mayor,1,0
ON-howick-mayor,"Howick, Township of",mayor,1,0
ON-hudson-councillor,"Hudson, Township of",councillor,,1
ON-hudson-mayor,"Hudson, Township of",mayor,1,0
ON-huntsville-council-district-town,"Huntsville, Town of",regional_councillor,3,3
ON-huntsville-council-w01-02,"Huntsville, Town of",councillor,2,2
ON-huntsville-council-w03-04-05,"Huntsville, Town of",councillor,2,0
ON-huntsville-council-w06,"Huntsville, Town of",councillor,1,1
ON-huntsville-mayor,"Huntsville, Town of",mayor,1,4
ON-huron-east-council-brussels,"Huron East, Municipality of",councillor,2,0
ON-huron-east-council-grey,"Huron East, Municipality of",councillor,1,1
ON-huron-east-council-mckillop,"Huron East, Municipality of",councillor,2,2
ON-huron-east-council-seaforth,"Huron East, Municipality of",councillor,2,2
ON-huron-east-council-tuckersmith,"Huron East, Municipality of",councillor,2,1
ON-huron-east-mayor,"Huron East, Municipality of",mayor,1,1
ON-huron-kinloss-council-at-large,"Huron-Kinloss, Township of",councillor,5,6
ON-huron-kinloss-deputy-mayor,"Huron-Kinloss, Township of",deputy_mayor,1,1
ON-huron-kinloss-mayor,"Huron-Kinloss, Township of",mayor,1,2
ON-huron-shores-council-w1,"Huron Shores, Municipality of",councillor,1,1
ON-huron-shores-council-w1w2,"Huron Shores, Municipality of",councillor,1,1
ON-huron-shores-council-w2,"Huron Shores, Municipality of",councillor,1,2
ON-huron-shores-council-w3,"Huron Shores, Municipality of",councillor,1,2
ON-huron-shores-council-w3w4,"Huron Shores, Municipality of",councillor,1,1
ON-huron-shores-council-w4,"Huron Shores, Municipality of",councillor,1,1
ON-huron-shores-mayor,"Huron Shores, Municipality of",mayor,1,2
ON-ignace-council,"Ignace, Township of",councillor,4,4
ON-ignace-mayor,"Ignace, Township of",mayor,1,1
ON-ingersoll-council-at-large,"Ingersoll, Town of",councillor,5,4
ON-ingersoll-deputy-mayor,"Ingersoll, Town of",deputy_mayor,1,2
ON-ingersoll-mayor,"Ingersoll, Town of",mayor,1,2
ON-innisfil-council-w01,"Innisfil, Town of",councillor,1,3
ON-innisfil-council-w02,"Innisfil, Town of",councillor,1,3
ON-innisfil-council-w03,"Innisfil, Town of",councillor,1,3
ON-innisfil-council-w04,"Innisfil, Town of",councillor,1,2
ON-innisfil-council-w05,"Innisfil, Town of",councillor,1,2
ON-innisfil-council-w06,"Innisfil, Town of",councillor,1,3
ON-innisfil-council-w07,"Innisfil, Town of",councillor,1,1
ON-innisfil-deputy-mayor,"Innisfil, Town of",deputy_mayor,1,3
ON-innisfil-mayor,"Innisfil, Town of",mayor,1,2
ON-iroquois-falls-council,"Iroquois Falls, Town of",councillor,6,0
ON-iroquois-falls-mayor,"Iroquois Falls, Town of",mayor,1,0
ON-james-councillor,"James, Township of",councillor,4,1
ON-james-mayor,"James, Township of",mayor,1,2
ON-jocelyn-council-atlarge,"Jocelyn, Township of",councillor,4,1
ON-jocelyn-mayor,"Jocelyn, Township of",mayor,1,1
ON-johnson-councillor,"Johnson, Township of",councillor,,2
ON-johnson-mayor,"Johnson, Township of",mayor,1,1
ON-joly-council-atlarge,"Joly, Township of",councillor,4,2
ON-joly-mayor,"Joly, Township of",mayor,1,0
ON-kapuskasing-council,"Kapuskasing, Town of",councillor,6,2
ON-kapuskasing-mayor,"Kapuskasing, Town of",mayor,1,1
ON-kawartha-lakes-council-w01,"Kawartha Lakes, City of",councillor,1,5
ON-kawartha-lakes-council-w02,"Kawartha Lakes, City of",councillor,1,2
ON-kawartha-lakes-council-w03,"Kawartha Lakes, City of",councillor,1,2
ON-kawartha-lakes-council-w04,"Kawartha Lakes, City of",councillor,1,3
ON-kawartha-lakes-council-w05,"Kawartha Lakes, City of",councillor,1,1
ON-kawartha-lakes-council-w06,"Kawartha Lakes, City of",councillor,1,2
ON-kawartha-lakes-council-w07,"Kawartha Lakes, City of",councillor,1,2
ON-kawartha-lakes-council-w08,"Kawartha Lakes, City of",councillor,1,3
ON-kawartha-lakes-mayor,"Kawartha Lakes, City of",mayor,1,5
ON-kawartha-lakes-trustee-pvnccdsb,"Kawartha Lakes, City of",trustee,1,1
ON-kawartha-lakes-trustee-tldsb-w01w04,"Kawartha Lakes, City of",trustee,1,0
ON-kawartha-lakes-trustee-tldsb-w02w03,"Kawartha Lakes, City of",trustee,1,1
ON-kawartha-lakes-trustee-tldsb-w05,"Kawartha Lakes, City of",trustee,1,0
ON-kawartha-lakes-trustee-tldsb-w06w08,"Kawartha Lakes, City of",trustee,1,1
ON-kawartha-lakes-trustee-tldsb-w07,"Kawartha Lakes, City of",trustee,1,1
ON-kearney-council,"Kearney, Town of",councillor,4,3
ON-kearney-mayor,"Kearney, Town of",mayor,1,1
ON-kenora-council-at-large,"Kenora, City of",councillor,6,5
ON-kenora-mayor,"Kenora, City of",mayor,1,1
ON-kerns-council-atlarge,"Kerns, Township of",councillor,4,2
ON-kerns-mayor,"Kerns, Township of",mayor,1,1
ON-killaloe-hagarty-and-richards-councillor-ward1,"Killaloe, Hagarty and Richards, Township of",councillor,2,3
ON-killaloe-hagarty-and-richards-councillor-ward2,"Killaloe, Hagarty and Richards, Township of",councillor,2,2
ON-killaloe-hagarty-and-richards-councillor-ward3,"Killaloe, Hagarty and Richards, Township of",councillor,2,2
ON-killaloe-hagarty-and-richards-mayor,"Killaloe, Hagarty and Richards, Township of",mayor,1,2
ON-killarney-council-ward1,"Killarney, Municipality of",councillor,3,1
ON-killarney-council-ward2,"Killarney, Municipality of",councillor,2,3
ON-killarney-mayor,"Killarney, Municipality of",mayor,1,1
ON-kincardine-council-at-large,"Kincardine, Municipality of",councillor,,2
ON-kincardine-council-ward1,"Kincardine, Municipality of",councillor,1,1
ON-kincardine-council-ward2,"Kincardine, Municipality of",councillor,1,2
ON-kincardine-council-ward3,"Kincardine, Municipality of",councillor,1,1
ON-kincardine-deputy-mayor,"Kincardine, Municipality of",deputy_mayor,1,1
ON-kincardine-mayor,"Kincardine, Municipality of",mayor,1,2
ON-king-council-w01,"King, Township of",councillor,1,2
ON-king-council-w02,"King, Township of",councillor,1,1
ON-king-council-w03,"King, Township of",councillor,1,1
ON-king-council-w04,"King, Township of",councillor,1,3
ON-king-council-w05,"King, Township of",councillor,1,3
ON-king-council-w06,"King, Township of",councillor,1,1
ON-king-mayor,"King, Township of",mayor,1,2
ON-kingston-council-w01,"Kingston, City of",councillor,1,3
ON-kingston-council-w02,"Kingston, City of",councillor,1,4
ON-kingston-council-w03,"Kingston, City of",councillor,1,2
ON-kingston-council-w04,"Kingston, City of",councillor,1,2
ON-kingston-council-w05,"Kingston, City of",councillor,1,1
ON-kingston-council-w06,"Kingston, City of",councillor,1,1
ON-kingston-council-w07,"Kingston, City of",councillor,1,3
ON-kingston-council-w08,"Kingston, City of",councillor,1,2
ON-kingston-council-w09,"Kingston, City of",councillor,1,1
ON-kingston-council-w10,"Kingston, City of",councillor,1,5
ON-kingston-council-w11,"Kingston, City of",councillor,1,2
ON-kingston-council-w12,"Kingston, City of",councillor,1,4
ON-kingston-mayor,"Kingston, City of",mayor,1,4
ON-kingsville-council-at-large,"Kingsville, Town of",councillor,5,5
ON-kingsville-deputy-mayor,"Kingsville, Town of",deputy_mayor,1,2
ON-kingsville-mayor,"Kingsville, Town of",mayor,1,3
ON-kirkland-lake-council,"Kirkland Lake, Town of",councillor,6,3
ON-kirkland-lake-mayor,"Kirkland Lake, Town of",mayor,1,1
ON-kitchener-council-ward1,"Kitchener, City of",councillor,1,1
ON-kitchener-council-ward10,"Kitchener, City of",councillor,1,2
ON-kitchener-council-ward2,"Kitchener, City of",councillor,1,2
ON-kitchener-council-ward3,"Kitchener, City of",councillor,1,5
ON-kitchener-council-ward4,"Kitchener, City of",councillor,1,3
ON-kitchener-council-ward5,"Kitchener, City of",councillor,1,8
ON-kitchener-council-ward6,"Kitchener, City of",councillor,1,2
ON-kitchener-council-ward7,"Kitchener, City of",councillor,1,2
ON-kitchener-council-ward8,"Kitchener, City of",councillor,1,1
ON-kitchener-council-ward9,"Kitchener, City of",councillor,1,2
ON-kitchener-mayor,"Kitchener, City of",mayor,1,4
ON-la-vallee-council,"La Vallee, Township of",councillor,4,1
ON-la-vallee-mayor,"La Vallee, Township of",mayor,1,1
ON-laird-council,"Laird, Township of",councillor,4,1
ON-laird-mayor,"Laird, Township of",mayor,1,1
ON-lake-of-bays-council-franklin-sinclair-ward,"Lake of Bays, Township of",regional_councillor,1,1
ON-lake-of-bays-council-franklin-ward,"Lake of Bays, Township of",councillor,1,2
ON-lake-of-bays-council-mclean-ward,"Lake of Bays, Township of",councillor,1,1
ON-lake-of-bays-council-ridout-mclean-ward,"Lake of Bays, Township of",regional_councillor,1,1
ON-lake-of-bays-council-ridout-ward,"Lake of Bays, Township of",councillor,1,1
ON-lake-of-bays-council-sinclair-finlayson-ward,"Lake of Bays, Township of",councillor,1,1
ON-lake-of-bays-mayor,"Lake of Bays, Township of",mayor,1,2
ON-lake-of-the-woods-council-at-large,"Lake of the Woods, Township of",councillor,4,0
ON-lake-of-the-woods-mayor,"Lake of the Woods, Township of",mayor,1,0
ON-lakeshore-council-w01,"Lakeshore, Municipality of",councillor,1,2
ON-lakeshore-council-w02,"Lakeshore, Municipality of",councillor,1,3
ON-lakeshore-council-w03,"Lakeshore, Municipality of",councillor,1,0
ON-lakeshore-council-w04,"Lakeshore, Municipality of",councillor,1,0
ON-lakeshore-council-w05,"Lakeshore, Municipality of",councillor,1,2
ON-lakeshore-council-w06,"Lakeshore, Municipality of",councillor,1,2
ON-lakeshore-deputy-mayor,"Lakeshore, Municipality of",deputy_mayor,1,3
ON-lakeshore-mayor,"Lakeshore, Municipality of",mayor,1,3
ON-lakeshore-trustee-cscprovidence-s5,"Lakeshore, Municipality of",trustee,1,1
ON-lakeshore-trustee-cscprovidence-s7,"Lakeshore, Municipality of",trustee,1,1
ON-lakeshore-trustee-cscprovidence-s9,"Lakeshore, Municipality of",trustee,1,1
ON-lakeshore-trustee-gecdsb,"Lakeshore, Municipality of",trustee,1,1
ON-lakeshore-trustee-wecdsb,"Lakeshore, Municipality of",trustee,1,0
ON-lambton-shores-council-w01,"Lambton Shores, Municipality of",councillor,1,0
ON-lambton-shores-council-w02,"Lambton Shores, Municipality of",councillor,1,0
ON-lambton-shores-council-w03,"Lambton Shores, Municipality of",councillor,1,0
ON-lambton-shores-council-w04,"Lambton Shores, Municipality of",councillor,1,1
ON-lambton-shores-council-w05,"Lambton Shores, Municipality of",councillor,1,1
ON-lambton-shores-council-w06,"Lambton Shores, Municipality of",councillor,1,1
ON-lambton-shores-council-w07,"Lambton Shores, Municipality of",councillor,1,2
ON-lambton-shores-deputy-mayor,"Lambton Shores, Municipality of",deputy_mayor,1,1
ON-lambton-shores-mayor,"Lambton Shores, Municipality of",mayor,1,1
ON-lambton-shores-trustee-cscprovidence,"Lambton Shores, Municipality of",trustee,1,0
ON-lanark-highlands-council-w01,"Lanark Highlands, Township of",councillor,1,2
ON-lanark-highlands-council-w02,"Lanark Highlands, Township of",councillor,1,0
ON-lanark-highlands-council-w03,"Lanark Highlands, Township of",councillor,1,1
ON-lanark-highlands-council-w04,"Lanark Highlands, Township of",councillor,1,1
ON-lanark-highlands-council-w05,"Lanark Highlands, Township of",councillor,1,0
ON-lanark-highlands-deputy-mayor,"Lanark Highlands, Township of",deputy_mayor,1,1
ON-lanark-highlands-mayor,"Lanark Highlands, Township of",mayor,1,1
ON-larder-lake-council,"Larder Lake, Township of",councillor,3,8
ON-larder-lake-mayor,"Larder Lake, Township of",mayor,1,2
ON-lasalle-council-at-large,"LaSalle, Town of",councillor,5,5
ON-lasalle-deputy-mayor,"LaSalle, Town of",deputy_mayor,1,1
ON-lasalle-mayor,"LaSalle, Town of",mayor,1,2
ON-latchford-council-at-large,"Latchford, Town of",councillor,4,0
ON-latchford-mayor,"Latchford, Town of",mayor,1,0
ON-laurentian-hills-council-w01,"Laurentian Hills, Town of",councillor,1,0
ON-laurentian-hills-council-w02,"Laurentian Hills, Town of",councillor,1,0
ON-laurentian-hills-council-w03,"Laurentian Hills, Town of",councillor,1,0
ON-laurentian-hills-council-w04,"Laurentian Hills, Town of",councillor,1,0
ON-laurentian-hills-mayor,"Laurentian Hills, Town of",mayor,1,1
ON-laurentian-valley-council-at-large,"Laurentian Valley, Township of",councillor,5,9
ON-laurentian-valley-mayor,"Laurentian Valley, Township of",mayor,1,2
ON-leamington-council-at-large,"Leamington, Municipality of",councillor,5,10
ON-leamington-deputy-mayor,"Leamington, Municipality of",deputy_mayor,1,2
ON-leamington-mayor,"Leamington, Municipality of",mayor,1,2
ON-leeds-and-the-thousand-islands-council-w01,"Leeds and the Thousand Islands, Township of",councillor,3,4
ON-leeds-and-the-thousand-islands-council-w02,"Leeds and the Thousand Islands, Township of",councillor,2,2
ON-leeds-and-the-thousand-islands-council-w03,"Leeds and the Thousand Islands, Township of",councillor,1,0
ON-leeds-and-the-thousand-islands-mayor,"Leeds and the Thousand Islands, Township of",mayor,1,1
ON-limerick-council,"Limerick, Township of",councillor,,6
ON-limerick-mayor,"Limerick, Township of",mayor,1,2
ON-lincoln-council-w01,"Lincoln, Town of",councillor,2,4
ON-lincoln-council-w02,"Lincoln, Town of",councillor,2,2
ON-lincoln-council-w03,"Lincoln, Town of",councillor,2,3
ON-lincoln-mayor,"Lincoln, Town of",mayor,1,3
ON-lincoln-trustee-cscmonavenir,"St. Catharines, City of",trustee,1,0
ON-lincoln-trustee-dsbn,"Lincoln, Town of",trustee,1,0
ON-lincoln-trustee-niagaracatholic,"Lincoln, Town of",trustee,1,0
ON-london-council-w01,"London, City of",councillor,1,3
ON-london-council-w02,"London, City of",councillor,1,2
ON-london-council-w03,"London, City of",councillor,1,4
ON-london-council-w04,"London, City of",councillor,1,8
ON-london-council-w05,"London, City of",councillor,1,3
ON-london-council-w06,"London, City of",councillor,1,4
ON-london-council-w07,"London, City of",councillor,1,9
ON-london-council-w08,"London, City of",councillor,1,2
ON-london-council-w09,"London, City of",councillor,1,4
ON-london-council-w10,"London, City of",councillor,1,4
ON-london-council-w11,"London, City of",councillor,1,2
ON-london-council-w12,"London, City of",councillor,1,3
ON-london-council-w13,"London, City of",councillor,1,6
ON-london-council-w14,"London, City of",councillor,1,2
ON-london-mayor,"London, City of",mayor,1,10
ON-loyalist-council-w01,"Loyalist, Township of",councillor,1,0
ON-loyalist-council-w02,"Loyalist, Township of",councillor,1,2
ON-loyalist-council-w03,"Loyalist, Township of",councillor,3,0
ON-loyalist-deputy-mayor,"Loyalist, Township of",deputy_mayor,1,1
ON-loyalist-mayor,"Loyalist, Township of",mayor,1,1
ON-lucan-biddulph-council-w01,"Lucan Biddulph, Township of",councillor,1,2
ON-lucan-biddulph-council-w02,"Lucan Biddulph, Township of",councillor,1,1
ON-lucan-biddulph-council-w03,"Lucan Biddulph, Township of",councillor,1,3
ON-lucan-biddulph-deputy-mayor,"Lucan Biddulph, Township of",deputy_mayor,1,1
ON-lucan-biddulph-mayor,"Lucan Biddulph, Township of",mayor,1,2
ON-macdonald-meredith-and-aberdeen-additional-council,"Macdonald, Meredith and Aberdeen Additional, Township of",councillor,4,5
ON-macdonald-meredith-and-aberdeen-additional-mayor,"Macdonald, Meredith and Aberdeen Additional, Township of",mayor,1,1
ON-machar-council,"Machar, Township of",councillor,4,5
