candidate_id,name,race_id,municipality,office,site,platform_words
ON-BD-ncdsb-trustee-dryden-M,Peter Marshall,ON-BD-ncdsb-trustee-dryden,"Dryden, City of",trustee,https://jmarshall.dsbn.org/school-council,0
ON-east-gwillimbury-council-w01-carruthers-l,Loralea Carruthers,ON-east-gwillimbury-council-w01,"East Gwillimbury, Town of",councillor,https://www.loralea.ca,0
ON-east-gwillimbury-council-w03-butterworth-c,Carolyn Butterworth,ON-east-gwillimbury-council-w03,"East Gwillimbury, Town of",councillor,https://www.carolynbutterworth.ca,1182
ON-east-gwillimbury-mayor-johns-b,Brian Johns,ON-east-gwillimbury-mayor,"East Gwillimbury, Town of",mayor,https://brianjohns.ca/news,0
ON-essa-mayor-logreco-f,Francesco Lo Greco,ON-essa-mayor,"Essa, Township of",mayor,https://francescologrecoformayor.com,0
ON-essex-town-mayor-bondy-s,Sherry Bondy,ON-essex-town-mayor,"Essex, Town of",mayor,https://sherrybondy.com,4839
ON-fort-erie-council-w04-christensen-j,Joan Christensen,ON-fort-erie-council-w04,"Fort Erie, Town of",councillor,https://votejoanchristensen.ca,2060
ON-fort-erie-mayor-liu-j,Juan LIU,ON-fort-erie-mayor,"Fort Erie, Town of",mayor,https://wwwhll.com,24629
ON-fort-erie-mayor-insinna-t,Tom INSINNA,ON-fort-erie-mayor,"Fort Erie, Town of",mayor,https://tominsinna4forterie.ca,0
ON-georgina-council-w05-wolfe-k,Karen Wolfe,ON-georgina-council-w05,"Georgina, Town of",councillor,https://www.karenwolfe4ward5.ca,3976
ON-gravenhurst-council-w04-jorgensen-r,Randy Jorgensen,ON-gravenhurst-council-w04,"Gravenhurst, Town of",councillor,https://randyjorgensen.com,0
ON-gravenhurst-council-w05-kilbourne-t,Tina Kilbourne,ON-gravenhurst-council-w05,"Gravenhurst, Town of",councillor,https://christinakilbourne.com,0
ON-gravenhurst-mayor-watson-j,Jeff Watson,ON-gravenhurst-mayor,"Gravenhurst, Town of",mayor,https://www.watsonformayor.ca/,0
ON-BD-rainbow-trustee-area01-montgomery-j,Jessica Montgomery,ON-BD-rainbow-trustee-area01,"Greater Sudbury, City of",trustee,https://jessicamontgomery.ca/,0
ON-greater-sudbury-council-w02-benoit-e,Eric Benoit,ON-greater-sudbury-council-w02,"Greater Sudbury, City of",councillor,https://www.eric4ward2.ca,0
ON-greater-sudbury-council-w08-badhesha-k,Karanbir Badhesha,ON-greater-sudbury-council-w08,"Greater Sudbury, City of",councillor,https://www.badhesha4council.ca,0
ON-greater-sudbury-council-w09-poland-s,Shawn Poland,ON-greater-sudbury-council-w09,"Greater Sudbury, City of",councillor,https://shawnforsudbury.ca,0
ON-greater-sudbury-council-w10-seiling-s,Suzanne Seiling,ON-greater-sudbury-council-w10,"Greater Sudbury, City of",councillor,https://www.votesuzanne.ca,461
ON-greater-sudbury-council-w10-butt-t,Tay Butt,ON-greater-sudbury-council-w10,"Greater Sudbury, City of",councillor,https://www.taybutt.ca,2337
ON-grimsby-council-w01-smeenk-m,Margot Smeenk,ON-grimsby-council-w01,"Grimsby, Town of",councillor,https://www.think.smeenk.ca,0
ON-grimsby-mayor-duong-s,Simon Duong,ON-grimsby-mayor,"Grimsby, Town of",mayor,https://simonduongformayor.ca,1920
ON-guelph-council-w01-dan-gibson,Dan Gibson,ON-guelph-council-w01,"Guelph, City of",councillor,https://www.ward1guelph.ca,2405
ON-guelph-council-w01-evan-silva,Evan Silva,ON-guelph-council-w01,"Guelph, City of",councillor,https://evan4guelph.ca/platform/affordable,1162
ON-guelph-council-w01-mustafa-zuberi,Mustafa Zuberi,ON-guelph-council-w01,"Guelph, City of",councillor,https://Mustafa4Ward1.ca,894
ON-guelph-council-w02-alec-purves,Alec Purves,ON-guelph-council-w02,"Guelph, City of",councillor,https://alecpurves2026.com,813
ON-guelph-council-w02-rodrigo-goller,Rodrigo Goller,ON-guelph-council-w02,"Guelph, City of",councillor,https://goller4ward2.ca,0
ON-guelph-council-w03-phil-allt,Phil Allt,ON-guelph-council-w03,"Guelph, City of",councillor,https://philallt.ca/issues/supporting-our-community-the-role-of-the-food-bank,9893
ON-guelph-council-w04-ali-malik,Ali Malik,ON-guelph-council-w04,"Guelph, City of",councillor,https://www.alimalika.ca/home,0
ON-guelph-council-w05-greg-cawsey,Greg Cawsey,ON-guelph-council-w05,"Guelph, City of",councillor,https://www.gregcawsey.ca/,0
ON-guelph-council-w05-james-doran,James Doran,ON-guelph-council-w05,"Guelph, City of",councillor,https://jamesdoran.ca,0
ON-guelph-council-w05-jon-christensen,Jon Christensen,ON-guelph-council-w05,"Guelph, City of",councillor,https://jonchristensen.ca/priorities,5289
ON-guelph-council-w05-michael-agueci,Michael Agueci,ON-guelph-council-w05,"Guelph, City of",councillor,https://michaelforguelph.ca,0
ON-guelph-council-w06-rebecca-adam,Rebecca Adam,ON-guelph-council-w06,"Guelph, City of",councillor,https://www.voterebeccaadam.ca/,0
ON-guelph-council-w06-shane-coulis,Shane Coulis,ON-guelph-council-w06,"Guelph, City of",councillor,https://www.shanecoulis.ca,724
ON-guelph-mayor-chew-k,Ken Yee Chew,ON-guelph-mayor,"Guelph, City of",mayor,https://chewforguelph.ca/,0
ON-BD-ugdsb-trustee-guelph-eramosa-edwards-j,Jen Edwards,ON-BD-ugdsb-trustee-guelph-eramosa,"Guelph/Eramosa, Township of",trustee,https://jenedwards4trustee.weebly.com,567
ON-haldimand-county-council-w03-mastromatteo-r,Ryan Mastromatteo,ON-haldimand-county-council-w03,Haldimand County,councillor,https://ryanforward3.ca,546
ON-haldimand-county-council-w04-dalimonte-t,Tony Dalimonte,ON-haldimand-county-council-w04,Haldimand County,councillor,https://www.tonydalimonte.ca,0
ON-haldimand-county-mayor-vandendool-j,Jake Vandendool,ON-haldimand-county-mayor,Haldimand County,mayor,https://vote-jake.ca,762
ON-halton-hills-council-w02-dragicevic-d,Daniel Dragicevic,ON-halton-hills-council-w02,"Halton Hills, Town of",councillor,https://www.danield.ca/commitments.php,2947
ON-halton-hills-council-w04-goswami-a,Aditee Goswami,ON-halton-hills-council-w04,"Halton Hills, Town of",councillor,https://www.aditeegoswami.ca/,0
ON-halton-hills-regional-councillor-w03-04-garneau-c,Chantal Garneau,ON-halton-hills-regional-councillor-w03-04,"Halton Hills, Town of",regional_councillor,https://www.votegarneau.ca,0
ON-BD-hwdsb-trustee-w02-dahab-s,Sabreina Dahab,ON-BD-hwdsb-trustee-w02,"Hamilton, City of",trustee,https://www.sabreinadahab.com/,0
ON-hamilton-city-council-w01-wilson-m,Maureen Wilson,ON-hamilton-city-council-w01,"Hamilton, City of",councillor,https://www.maureenwilson.ca,2673
ON-hamilton-city-council-w02-tompkins-b,Bernard Tompkins,ON-hamilton-city-council-w02,"Hamilton, City of",councillor,https://www.bernardforward2.ca,679
ON-hamilton-city-council-w02-abdulkarim-e,Eisham Abdulkarim,ON-hamilton-city-council-w02,"Hamilton, City of",councillor,https://sites.google.com/view/eisham-for-ward-2?usp=sharing,11646
ON-hamilton-city-council-w02-oucharek-k,Kelly Oucharek,ON-hamilton-city-council-w02,"Hamilton, City of",councillor,https://kellyoucharek.ca,0
ON-hamilton-city-council-w03-selman-a,Andrew Selman,ON-hamilton-city-council-w03,"Hamilton, City of",councillor,https://voteandrewselman.com,0
ON-hamilton-city-council-w03-cayuga-c,Christine Cayuga,ON-hamilton-city-council-w03,"Hamilton, City of",councillor,https://christinecayugaward3.com,0
ON-hamilton-city-council-w03-nann-n,Nrinder Nann,ON-hamilton-city-council-w03,"Hamilton, City of",councillor,https://nrinder.ca,0
ON-hamilton-city-council-w04-hwang-t,Tammy Hwang,ON-hamilton-city-council-w04,"Hamilton, City of",councillor,https://tammyhwang.ca,9020
ON-hamilton-city-council-w05-francis-m,Matt Francis,ON-hamilton-city-council-w05,"Hamilton, City of",councillor,https://www.mattfrancisward5.ca,0
ON-hamilton-city-council-w06-werhun-p,Peter Werhun,ON-hamilton-city-council-w06,"Hamilton, City of",councillor,https://pete46.ca,0
ON-hamilton-city-council-w06-jackson-t,Tom Jackson,ON-hamilton-city-council-w06,"Hamilton, City of",councillor,https://www.tomjacksonward6.ca,0
ON-hamilton-city-council-w07-daly-m,Mark Daly,ON-hamilton-city-council-w07,"Hamilton, City of",councillor,https://markdalyward7.ca,568
ON-hamilton-city-council-w09-clark-b,Brad Clark,ON-hamilton-city-council-w09,"Hamilton, City of",councillor,https://bradclarkreport.com/welcome-to-ward-9,2225
ON-hamilton-city-council-w09-stapleton-b,Brad Stapleton,ON-hamilton-city-council-w09,"Hamilton, City of",councillor,https://www.stapletonward9.ca,0
ON-hamilton-city-council-w09-walker-e,Eileen Walker,ON-hamilton-city-council-w09,"Hamilton, City of",councillor,https://voteeileenwalker.com,1306
ON-hamilton-city-council-w09-stathakos-j,Jonathan Stathakos,ON-hamilton-city-council-w09,"Hamilton, City of",councillor,https://votejonathan.ca,2953
ON-hamilton-city-council-w10-beattie-j,Jeff Beattie,ON-hamilton-city-council-w10,"Hamilton, City of",councillor,https://hesc.ontariopc.ca,0
ON-hamilton-city-council-w10-fung-o,Olivia Fung,ON-hamilton-city-council-w10,"Hamilton, City of",councillor,http://www.oliviafung.ca,0
ON-hamilton-city-council-w13-kunc-r,Rick Kunc,ON-hamilton-city-council-w13,"Hamilton, City of",councillor,https://www.rickkunc.ca,2654
ON-hamilton-city-council-w14-damptey-k,Kojo Damptey,ON-hamilton-city-council-w14,"Hamilton, City of",councillor,https://www.kojoforward14.ca,8368
ON-hamilton-city-council-w15-stewart-c,Colleen Stewart,ON-hamilton-city-council-w15,"Hamilton, City of",councillor,https://colleenstewart.ca,0
ON-hamilton-city-council-w15-mcmeekin-t,Ted McMeekin,ON-hamilton-city-council-w15,"Hamilton, City of",councillor,https://www.tedmcmeekin4ward15.ca,0
ON-hamilton-city-mayor-loomis-k,Keanin Loomis,ON-hamilton-city-mayor,"Hamilton, City of",mayor,https://www.voteloomis.ca,0
ON-hamilton-city-mayor-gillespie-s,Scarlett Gillespie,ON-hamilton-city-mayor,"Hamilton, City of",mayor,https://scarlettformayor.ca,4348
ON-highlands-east-council-ward2-cardiff-jo-anne-gould-green,Jo-Anne Gould-Green,ON-highlands-east-council-ward2-cardiff,"Highlands East, Municipality of",councillor,https://vote-green.click,0
ON-highlands-east-mayor-mike-killingsworth,Mike Killingsworth,ON-highlands-east-mayor,"Highlands East, Municipality of",mayor,https://mikekillingsworth.substack.com/p/a-message-from-the-heart-investing,0
ON-huntsville-mayor-caswell-d,Dan Caswell,ON-huntsville-mayor,"Huntsville, Town of",mayor,https://www.caswellformayor.ca,5603
ON-ingersoll-council-at-large-C,Matthew Chambers,ON-ingersoll-council-at-large,"Ingersoll, Town of",councillor,https://matthewchambers.ndp.ca,0
ON-kawartha-lakes-council-w04-joyce-d,Dan Joyce,ON-kawartha-lakes-council-w04,"Kawartha Lakes, City of",councillor,https://danjoyce.ca,679
ON-kawartha-lakes-council-w04-bhat-g,Guru Bhat,ON-kawartha-lakes-council-w04,"Kawartha Lakes, City of",councillor,https://gurubhat.ca,0
ON-kawartha-lakes-council-w05-doble-m,Mark Doble,ON-kawartha-lakes-council-w05,"Kawartha Lakes, City of",councillor,https://www.markdoblecampaign.ca,1306
