candidate_id,name,race_id,municipality,office,site,platform_words
ON-halton-hills-council-w04-mcfadden-t,Tyler McFadden,ON-halton-hills-council-w04,"Halton Hills, Town of",councillor,https://www.tylermcfadden.ca/,0
ON-halton-hills-regional-councillor-w03-04-garneau-c,Chantal Garneau,ON-halton-hills-regional-councillor-w03-04,"Halton Hills, Town of",regional_councillor,https://www.votegarneau.ca,0
ON-hamilton-city-council-w01-wilson-m,Maureen Wilson,ON-hamilton-city-council-w01,"Hamilton, City of",councillor,https://www.maureenwilson.ca,2673
ON-hamilton-city-council-w03-nann-n,Nrinder Nann,ON-hamilton-city-council-w03,"Hamilton, City of",councillor,https://nrinder.ca,0
ON-hamilton-city-council-w04-hwang-t,Tammy Hwang,ON-hamilton-city-council-w04,"Hamilton, City of",councillor,https://tammyhwang.ca,9020
ON-hamilton-city-council-w05-francis-m,Matt Francis,ON-hamilton-city-council-w05,"Hamilton, City of",councillor,https://www.mattfrancisward5.ca,0
ON-hamilton-city-council-w06-jackson-t,Tom Jackson,ON-hamilton-city-council-w06,"Hamilton, City of",councillor,https://www.tomjacksonward6.ca,0
ON-hamilton-city-council-w09-clark-b,Brad Clark,ON-hamilton-city-council-w09,"Hamilton, City of",councillor,https://bradclarkreport.com/welcome-to-ward-9,2225
ON-hamilton-city-council-w09-walker-e,Eileen Walker,ON-hamilton-city-council-w09,"Hamilton, City of",councillor,https://voteeileenwalker.com,1306
ON-hamilton-city-council-w10-beattie-j,Jeff Beattie,ON-hamilton-city-council-w10,"Hamilton, City of",councillor,https://hesc.ontariopc.ca,0
ON-hamilton-city-council-w10-fung-o,Olivia Fung,ON-hamilton-city-council-w10,"Hamilton, City of",councillor,http://www.oliviafung.ca,0
ON-hamilton-city-council-w12-cassar-c,Craig Cassar,ON-hamilton-city-council-w12,"Hamilton, City of",councillor,https://www.craigcassar.ca,1247
ON-hamilton-city-council-w13-lieberman-l,Loren Lieberman,ON-hamilton-city-council-w13,"Hamilton, City of",councillor,https://www.lorenlieberman.ca,635
ON-hamilton-city-council-w15-stewart-c,Colleen Stewart,ON-hamilton-city-council-w15,"Hamilton, City of",councillor,https://colleenstewart.ca,0
ON-hamilton-city-council-w15-mcmeekin-t,Ted McMeekin,ON-hamilton-city-council-w15,"Hamilton, City of",councillor,https://www.tedmcmeekin4ward15.ca,0
ON-hamilton-city-mayor-gillespie-s,Scarlett Gillespie,ON-hamilton-city-mayor,"Hamilton, City of",mayor,https://scarlettformayor.ca,4348
ON-hamilton-township-council-chatten-j,Jay Chatten,ON-hamilton-township-council,"Hamilton, Township of",councillor,https://www.jaychatten.com/,852
ON-highlands-east-council-ward2-cardiff-jo-anne-gould-green,Jo-Anne Gould-Green,ON-highlands-east-council-ward2-cardiff,"Highlands East, Municipality of",councillor,https://vote-green.click,0
ON-highlands-east-mayor-dave-burton,Dave Burton,ON-highlands-east-mayor,"Highlands East, Municipality of",mayor,https://daveburton.org,0
ON-highlands-east-mayor-mike-killingsworth,Mike Killingsworth,ON-highlands-east-mayor,"Highlands East, Municipality of",mayor,https://mikekillingsworth.substack.com/p/a-message-from-the-heart-investing,0
ON-innisfil-council-w05-brown-k,Karen Brown,ON-innisfil-council-w05,"Innisfil, Town of",councillor,https://innisfilward5.ca,866
ON-kawartha-lakes-council-w04-joyce-d,Dan Joyce,ON-kawartha-lakes-council-w04,"Kawartha Lakes, City of",councillor,https://danjoyce.ca,679
ON-kawartha-lakes-council-w04-bhat-g,Guru Bhat,ON-kawartha-lakes-council-w04,"Kawartha Lakes, City of",councillor,https://gurubhat.ca,0
