candidate_id,name,race_id,municipality,office,site,platform_words
ON-brampton-council-w09-w10-singh-h,Harkirat Singh,ON-brampton-council-w09-w10,"Brampton, City of",councillor,https://harkiratsingh.ca/meet-harkirat,0
ON-brampton-mayor-dhaliwal-a,Avi Dhaliwal,ON-brampton-mayor,"Brampton, City of",mayor,https://avidhaliwal.com,431
ON-brampton-mayor-somal-s,Sandeep Somal,ON-brampton-mayor,"Brampton, City of",mayor,https://www.sandeepsomalformayor.ca,1042
ON-brampton-mayor-patel-t,Tirth Vinodkumar Patel,ON-brampton-mayor,"Brampton, City of",mayor,https://tirthpatel.ca,1433
ON-brampton-regional-councillor-w01-w05-orughu-i,Idris Orughu,ON-brampton-regional-councillor-w01-w05,"Brampton, City of",regional_councillor,https://cleanupbrampton.com,597
ON-brampton-regional-councillor-w01-w05-vicente-p,Paul Vicente,ON-brampton-regional-councillor-w01-w05,"Brampton, City of",regional_councillor,https://paulvicente.ca,1093
ON-brampton-regional-councillor-w01-w05-lee-s,Steven Lee,ON-brampton-regional-councillor-w01-w05,"Brampton, City of",regional_councillor,https://www.votestevenlee.ca,1644
ON-brampton-regional-councillor-w02-w06-tandon-s,Sameer Tandon,ON-brampton-regional-councillor-w02-w06,"Brampton, City of",regional_councillor,https://www.sameerforbrampton.ca,0
ON-brampton-regional-councillor-w07-w08-sharma-a,Aman Sharma,ON-brampton-regional-councillor-w07-w08,"Brampton, City of",regional_councillor,https://amansharma.net,0
ON-brampton-regional-councillor-w07-w08-dhillon-r,Ripudaman Singh Dhillon,ON-brampton-regional-councillor-w07-w08,"Brampton, City of",regional_councillor,https://ripu.ca,315
ON-brampton-regional-councillor-w07-w08-vyas-v,Vedaant Vyas,ON-brampton-regional-councillor-w07-w08,"Brampton, City of",regional_councillor,https://cvedaant.ca,0
ON-brampton-regional-councillor-w09-w10-dhillon-g,Gurpreet Singh Dhillon,ON-brampton-regional-councillor-w09-w10,"Brampton, City of",regional_councillor,https://gurpreetsinghdhillon.com,0
ON-brampton-regional-councillor-w09-w10-sangha-s,Sukhman Sangha,ON-brampton-regional-councillor-w09-w10,"Brampton, City of",regional_councillor,https://sukhmansangha.com,0
ON-brant-council-w01-macalpine-j,John MacAlpine,ON-brant-council-w01,"Brant, County of",councillor,https://macalpine4brant.ca,0
ON-brant-council-w02-howes-s,Steve Howes,ON-brant-council-w02,"Brant, County of",councillor,http://www.votehowes.ca/about-steve,7896
ON-brant-council-w03-bell-j,John Bell,ON-brant-council-w03,"Brant, County of",councillor,https://johnbellward3.com,0
ON-brant-council-w04-craigie-c,Claudine Craigie,ON-brant-council-w04,"Brant, County of",councillor,https://www.claudinecraigie.com/,0
ON-brant-council-w04-tully-e,Elaine Tully,ON-brant-council-w04,"Brant, County of",councillor,https://electelaine.ca,0
ON-brant-council-w05-gatopoulos-m,Mike Gatopoulos,ON-brant-council-w05,"Brant, County of",councillor,https://mikegatopoulos.ca,0
ON-brant-council-w05-brown-s,Sonia Brown,ON-brant-council-w05,"Brant, County of",councillor,https://www.votesoniabrown.ca,371
ON-brantford-council-w01-bob-sproul,Bob Sproul,ON-brantford-council-w01,"Brantford, City of",councillor,https://www.bobsproulward1.com,0
ON-brantford-council-w01-michael-sullivan,Michael Sullivan,ON-brantford-council-w01,"Brantford, City of",councillor,https://sullivanmichaeljam.wixsite.com/ward1councillor/meet-michael,378
ON-brantford-council-w03-rod-philpot,Rod Philpot,ON-brantford-council-w03,"Brantford, City of",councillor,https://rodphilpot.ca/about,0
ON-brantford-council-w04-al-moscoe,Al Moscoe,ON-brantford-council-w04,"Brantford, City of",councillor,https://www.moscoe4council.ca,216
ON-brantford-council-w04-colleen-goupil,Colleen Goupil,ON-brantford-council-w04,"Brantford, City of",councillor,https://www.colleen-goupil-for-councillor.ca/my-vision,408
ON-brantford-council-w04-nicole-callander,Nicole Callander,ON-brantford-council-w04,"Brantford, City of",councillor,https://www.nicolecallander.ca,0
ON-brantford-council-w04-nicole-durnford,Nicole Durnford,ON-brantford-council-w04,"Brantford, City of",councillor,https://votenicole.ca,1621
ON-brantford-council-w05-karleigh-csordas,Karleigh Csordas,ON-brantford-council-w05,"Brantford, City of",councillor,https://karleighcsordas.ca/lets-talk-policy-fair-taxation,2253
ON-brantford-mayor-sicoli-r,Rose Sicoli,ON-brantford-mayor,"Brantford, City of",mayor,https://electrose.ca,969
ON-brighton-council-at-large-W,Jeff Wheeldon,ON-brighton-council-at-large,"Brighton, Municipality of",councillor,https://jeffwheeldon.ca,3236
ON-brock-council-w02-vessel-d,Diana Vessel,ON-brock-council-w02,"Brock, Township of",councillor,https://dvessel4.wixsite.com/diana-vessel-ward-2,1334
ON-BD-hcdsb-trustee-burlington-w03-w06-soler-r,Roman Soler,ON-BD-hcdsb-trustee-burlington-w03-w06,"Burlington, City of",trustee,https://voteroman.ca,0
ON-BD-hcdsb-trustee-burlington-w04-w05-obrien-t,Tim O'Brien,ON-BD-hcdsb-trustee-burlington-w04-w05,"Burlington, City of",trustee,https://timobrien.ca,0
ON-BD-hdsb-trustee-burlington-w01-w02-diakoloukas-b,Bika Diakoloukas,ON-BD-hdsb-trustee-burlington-w01-w02,"Burlington, City of",trustee,https://www.bikafortrustee.com,0
ON-BD-hdsb-trustee-burlington-w03-w06-zhang-x,Xin Yi Zhang,ON-BD-hdsb-trustee-burlington-w03-w06,"Burlington, City of",trustee,https://www.reelect-xyz.ca,0
ON-BD-hdsb-trustee-burlington-w05-collard-a,Amy Collard,ON-BD-hdsb-trustee-burlington-w05,"Burlington, City of",trustee,https://reelectamycollard.wixsite.com/re-elect-amy-collard,565
ON-burlington-council-w01-hurst-c,Cheryl Hurst,ON-burlington-council-w01,"Burlington, City of",regional_councillor,https://www.cherylcommunityburlingtonward1.ca,315
ON-burlington-council-w02-brar-m,Masha Brar,ON-burlington-council-w02,"Burlington, City of",regional_councillor,https://www.mashaforburlington.ca,259
