sgc_code,geo_name,geo_level,period,metric,value,unit,source_res_id,retrieved_date
3509030,Mississippi Mills M,CSD,2024,fir_total_revenue,33515683,CAD,RES-130032,2026-07-12
3509030,Mississippi Mills M,CSD,2024,fir_own_source_revenue,30911903,CAD,RES-130032,2026-07-12
3509039,Lanark Highlands Tp,CSD,2024,fir_total_revenue,10888978,CAD,RES-130032,2026-07-12
3509039,Lanark Highlands Tp,CSD,2024,fir_own_source_revenue,9891970,CAD,RES-130032,2026-07-12
3510,Frontenac Co,CD,2024,fir_total_revenue,64837762,CAD,RES-130032,2026-07-12
3510,Frontenac Co,CD,2024,fir_own_source_revenue,36359252,CAD,RES-130032,2026-07-12
3510005,Frontenac Islands Tp,CSD,2024,fir_total_revenue,6086446,CAD,RES-130032,2026-07-12
3510005,Frontenac Islands Tp,CSD,2024,fir_own_source_revenue,5079596,CAD,RES-130032,2026-07-12
3510010,Kingston C,CSD,2024,fir_total_revenue,710011366,CAD,RES-130032,2026-07-12
3510010,Kingston C,CSD,2024,fir_own_source_revenue,562226573,CAD,RES-130032,2026-07-12
3510020,South Frontenac Tp,CSD,2024,fir_total_revenue,33922455,CAD,RES-130032,2026-07-12
3510020,South Frontenac Tp,CSD,2024,fir_own_source_revenue,31311489,CAD,RES-130032,2026-07-12
3510035,Central Frontenac Tp,CSD,2024,fir_total_revenue,15961750,CAD,RES-130032,2026-07-12
3510035,Central Frontenac Tp,CSD,2024,fir_own_source_revenue,14870729,CAD,RES-130032,2026-07-12
3510045,North Frontenac Tp,CSD,2024,fir_total_revenue,12130933,CAD,RES-130032,2026-07-12
3510045,North Frontenac Tp,CSD,2024,fir_own_source_revenue,10809984,CAD,RES-130032,2026-07-12
3511,Lennox and Addington Co,CD,2024,fir_total_revenue,104758238,CAD,RES-130032,2026-07-12
3511,Lennox and Addington Co,CD,2024,fir_own_source_revenue,51129375,CAD,RES-130032,2026-07-12
3511005,Loyalist Tp,CSD,2024,fir_total_revenue,72401957,CAD,RES-130032,2026-07-12
3511005,Loyalist Tp,CSD,2024,fir_own_source_revenue,54480341,CAD,RES-130032,2026-07-12
3511015,Greater Napanee T,CSD,2024,fir_total_revenue,35750338,CAD,RES-130032,2026-07-12
3511015,Greater Napanee T,CSD,2024,fir_own_source_revenue,32596204,CAD,RES-130032,2026-07-12
3511030,Stone Mills Tp,CSD,2024,fir_total_revenue,12831606,CAD,RES-130032,2026-07-12
3511030,Stone Mills Tp,CSD,2024,fir_own_source_revenue,11647041,CAD,RES-130032,2026-07-12
3511035,Addington Highlands Tp,CSD,2024,fir_total_revenue,8230657,CAD,RES-130032,2026-07-12
3511035,Addington Highlands Tp,CSD,2024,fir_own_source_revenue,7699845,CAD,RES-130032,2026-07-12
3512,Hastings Co,CD,2024,fir_total_revenue,194425328,CAD,RES-130032,2026-07-12
3512,Hastings Co,CD,2024,fir_own_source_revenue,78399436,CAD,RES-130032,2026-07-12
3512001,Tyendinaga Tp,CSD,2024,fir_total_revenue,6169573,CAD,RES-130032,2026-07-12
3512001,Tyendinaga Tp,CSD,2024,fir_own_source_revenue,5382994,CAD,RES-130032,2026-07-12
3512002,Deseronto T,CSD,2024,fir_total_revenue,5154605,CAD,RES-130032,2026-07-12
3512002,Deseronto T,CSD,2024,fir_own_source_revenue,4827918,CAD,RES-130032,2026-07-12
3512005,Belleville C,CSD,2024,fir_total_revenue,217724366,CAD,RES-130032,2026-07-12
3512005,Belleville C,CSD,2024,fir_own_source_revenue,203372676,CAD,RES-130032,2026-07-12
3512015,Quinte West C,CSD,2024,fir_total_revenue,141487955,CAD,RES-130032,2026-07-12
3512015,Quinte West C,CSD,2024,fir_own_source_revenue,129813540,CAD,RES-130032,2026-07-12
3512020,Stirling-Rawdon Tp,CSD,2024,fir_total_revenue,12737553,CAD,RES-130032,2026-07-12
3512020,Stirling-Rawdon Tp,CSD,2024,fir_own_source_revenue,11765877,CAD,RES-130032,2026-07-12
3512026,Centre Hastings M,CSD,2024,fir_total_revenue,12367672,CAD,RES-130032,2026-07-12
3512026,Centre Hastings M,CSD,2024,fir_own_source_revenue,10663487,CAD,RES-130032,2026-07-12
3512030,Tweed M,CSD,2024,fir_total_revenue,10849966,CAD,RES-130032,2026-07-12
3512030,Tweed M,CSD,2024,fir_own_source_revenue,9753841,CAD,RES-130032,2026-07-12
3512046,Marmora and Lake M,CSD,2024,fir_total_revenue,11410242,CAD,RES-130032,2026-07-12
3512046,Marmora and Lake M,CSD,2024,fir_own_source_revenue,10651195,CAD,RES-130032,2026-07-12
3512048,Tudor and Cashel Tp,CSD,2024,fir_total_revenue,2974696,CAD,RES-130032,2026-07-12
3512048,Tudor and Cashel Tp,CSD,2024,fir_own_source_revenue,2529855,CAD,RES-130032,2026-07-12
3512051,Limerick Tp,CSD,2024,fir_total_revenue,2125897,CAD,RES-130032,2026-07-12
3512051,Limerick Tp,CSD,2024,fir_own_source_revenue,2006576,CAD,RES-130032,2026-07-12
3512054,Wollaston Tp,CSD,2024,fir_total_revenue,3513134,CAD,RES-130032,2026-07-12
3512054,Wollaston Tp,CSD,2024,fir_own_source_revenue,3276092,CAD,RES-130032,2026-07-12
3512058,Faraday Tp,CSD,2024,fir_total_revenue,4532267,CAD,RES-130032,2026-07-12
3512058,Faraday Tp,CSD,2024,fir_own_source_revenue,4475991,CAD,RES-130032,2026-07-12
3512061,Bancroft T,CSD,2024,fir_total_revenue,12986339,CAD,RES-130032,2026-07-12
3512061,Bancroft T,CSD,2024,fir_own_source_revenue,12551612,CAD,RES-130032,2026-07-12
3512065,Carlow-Mayo Tp,CSD,2024,fir_total_revenue,2506743,CAD,RES-130032,2026-07-12
3512065,Carlow-Mayo Tp,CSD,2024,fir_own_source_revenue,2323952,CAD,RES-130032,2026-07-12
3512076,Hastings Highlands M,CSD,2024,fir_total_revenue,12946268,CAD,RES-130032,2026-07-12
3512076,Hastings Highlands M,CSD,2024,fir_own_source_revenue,12225024,CAD,RES-130032,2026-07-12
3513020,Prince Edward County C,CSD,2024,fir_total_revenue,95768659,CAD,RES-130032,2026-07-12
